pmcid,question,answer,
11653659,"What potential benefit does the addition of baricitinib provide for patients with alopecia areata, according to the abstract sentence provided? (pmcid=11653659)","The addition of baricitinib provides the potential benefit of expanding treatment options for patients with alopecia areata, which may result in improved outcomes.",f7df2866579b2aa78b6f8b49b0df2a0d
11653659,What is recommended for future cost-effectiveness analyses in the study on baricitinib for treatment of alopecia areata (pmcid=11653659)?,Future cost-effectiveness analyses are recommended to estimate the cost per incremental improvement in the outcomes.,f7df2866579b2aa78b6f8b49b0df2a0d
10802124,What surgery may be required when traditional therapies fail to provide relief from debilitating lower back pain (pmcid=10802124)?,Transforaminal lumbar interbody fusion (TLIF),3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What did the budget impact analysis compare for single-level fusion from an Italian hospital perspective (pmcid=10802124)?,The budget impact analysis compared minimally-invasive (MI)-TLIF versus open (O)-TLIF for single-level fusion from an Italian hospital perspective.,3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What costs were compared in the Budget Impact Analysis (pmcid=10802124)?,The costs compared in the Budget Impact Analysis (pmcid=10802124) were those of 100 Minimally Invasive Transforaminal Lumbar Interbody Fusion (MI-TLIF) procedures and 100 Open Transforaminal Lumbar Interbody Fusion (O-TLIF) procedures from an Italian hospital perspective over a one-year time horizon.,3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What costs were included in the base case analysis (pmcid=10802124)?,"Costs for length of hospital stay (LOS), blood loss, and sterilizing surgical trays.",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What did the scenario analysis for the Budget Impact Analysis of Minimally Invasive versus Open Transforaminal Lumbar Interbody Fusion include (pmcid=10802124)?,The scenario analysis for the Budget Impact Analysis included operating room (OR) time and complication costs.,3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the base case inputs for the budget impact analysis (pmcid=10802124)?,The base case inputs for the budget impact analysis in the study with pmcid=10802124 were from the Miller et al meta-analysis.,3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the device costs used for the MI-TLIF and O-TLIF procedures in the study (pmcid=10802124)?,"The device costs used for the MI-TLIF and O-TLIF procedures in the study were from Italian tender prices for the Viper Prime™ System and Expedium™ Spine System, respectively.",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the cost savings of MI-TLIF compared with O-TLIF in the base case deterministic analysis (pmcid=10802124)?,"The cost savings of MI-TLIF compared with O-TLIF in the base case deterministic analysis were €207,370.",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the costs compared between Minimally Invasive Transforaminal Lumbar Interbody Fusion (MI-TLIF) and Open Transforaminal Lumbar Interbody Fusion (O-TLIF) for various components (pmcid=10802124)?,"The costs compared between Minimally Invasive Transforaminal Lumbar Interbody Fusion (MI-TLIF) and Open Transforaminal Lumbar Interbody Fusion (O-TLIF) were as follows:
- MI-TLIF costs were lower for Length of Stay (LOS) at €215,277
- MI-TLIF costs were lower for transfusion for blood loss at €16,881
- MI-TLIF costs were lower for surgical tray sterilization at €28,232
- Device costs were lower for O-TLIF at €53,020",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the savings associated with MI-TLIF compared to open surgery for lumbar degenerative disease from a European hospital perspective (pmcid=10802124)?,"The savings associated with MI-TLIF compared to open surgery for lumbar degenerative disease from a European hospital perspective were €211,026 (95% credible interval: €208,725 - €213,327).",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the results of all 1000 base case probabilistic sensitivity analysis runs (pmcid=10802124)?,All 1000 base case probabilistic sensitivity analysis runs were cost saving.,3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the cost savings for MI-TLIF according to the deterministic scenario analysis results (pmcid=10802124)?,"The cost savings for MI-TLIF according to the deterministic scenario analysis results were €166,719.",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What were the costs compared between MI-TLIF and O-TLIF for various factors (pmcid=10802124)?,"The costs compared between MI-TLIF and O-TLIF for various factors were as follows:
- MI-TLIF costs were lower for LOS (€190,813), transfusion for blood loss (€16,881), surgical tray sterilization (€28,232), and complications (€2076).
- O-TLIF costs were lower for OR time (€18,263) and devices used (€53,020).",3f6ada9505d0e500e0ab21b87d0e15f1
10802124,What does this study demonstrate in terms of economic savings from a European hospital perspective (pmcid=10802124)?,This study demonstrates the economic savings of Minimally Invasive Transforaminal Lumbar Interbody Fusion (MI-TLIF) compared to Open Transforaminal Lumbar Interbody Fusion (O-TLIF) from a European hospital perspective.,3f6ada9505d0e500e0ab21b87d0e15f1
10802124,"What will the findings be useful for, according to the abstract sentence provided (pmcid=10802124)?","The findings will be useful for policy and hospital decision makers in assessing purchasing, funding, and reimbursement decisions.",3f6ada9505d0e500e0ab21b87d0e15f1
9746097,What is the background information provided in the abstract (pmcid=9746097)?,Multiple myeloma is an incurable haematological malignancy that is associated with a high probability of relapse.,c07ac53c1a27aedeedae2687ed29305e
9746097,What drugs have greatly improved the survival of relapsed patients according to the abstract sentence (pmcid=9746097)?,lenalidomide and bortezomib,c07ac53c1a27aedeedae2687ed29305e
9746097,What did the study assess in the South African public health care system (pmcid=9746097)?,The study assessed the cost-effectiveness of dexamethasone compared with bortezomib and lenalidomide as second-line treatment for relapsed/refractory multiple myeloma patients in the South African public health care system.,c07ac53c1a27aedeedae2687ed29305e
9746097,What treatment strategies were modelled for second-line RRMM treatment in the study (pmcid=9746097)?,"The treatment strategies modelled for second-line RRMM treatment in the study (pmcid=9746097) were dexamethasone (standard of care), bortezomib (BORT), and lenalidomide plus dexamethasone (LEN/DEX).",c07ac53c1a27aedeedae2687ed29305e
9746097,What type of model was used to simulate the cohort of relapsed/refractory multiple myeloma patients in this study (pmcid=9746097)?,A three-state Markov model was used to simulate the cohort of relapsed/refractory multiple myeloma patients in this study (pmcid=9746097).,c07ac53c1a27aedeedae2687ed29305e
9746097,What trials were utilized to obtain efficacy and utilization data for the analysis (pmcid=9746097)?,The MM009/010 and APEX trials were utilized to obtain efficacy and utilization data for the analysis in the study with pmcid 9746097.,c07ac53c1a27aedeedae2687ed29305e
9746097,What currency were the price and cost data presented in for this study (pmcid=9746097)?,The price and cost data were presented in 2021 South African Rands.,c07ac53c1a27aedeedae2687ed29305e
9746097,What outcomes were reported in quality adjusted life years in the study conducted by Matsela LM (pmcid=9746097)?,Outcomes were reported in quality adjusted life years (QALYs).,c07ac53c1a27aedeedae2687ed29305e
9746097,What cost-effectiveness threshold was used for the analysis (pmcid=9746097)?,"The cost-effectiveness threshold used for the analysis in pmcid 9746097 was R38,500 per DALY averted.",c07ac53c1a27aedeedae2687ed29305e
9746097,What was the purpose of the budget impact analysis conducted in the study (pmcid=9746097)?,The purpose of the budget impact analysis conducted in the study was to evaluate the financial impact of the introduction of bortezomib and lenalidomide with dexamethasone for the treatment of second line multiple myeloma from a South African public health perspective.,c07ac53c1a27aedeedae2687ed29305e
9746097,What type of analysis was undertaken to account for parameter uncertainties in the study (pmcid=9746097)?,Deterministic sensitivity analysis,c07ac53c1a27aedeedae2687ed29305e
9746097,"What were the estimated total costs of DEX, BORT, and LEN/DEX in the study (pmcid=9746097)?","The estimated total costs of DEX, BORT, and LEN/DEX in the study were R8,312, R234,996, and R1,135,323, respectively.",c07ac53c1a27aedeedae2687ed29305e
9746097,What is the quality-adjusted life year (QALY) provided by DEX treatment compared to BORT and LEN/DEX treatments (pmcid=9746097)?,"The quality-adjusted life year (QALY) provided by DEX treatment is 1.14, while BORT treatment provided 1.49 QALYs and LEN/DEX treatment provided 2.22 QALYs.",c07ac53c1a27aedeedae2687ed29305e
9746097,"What were the incremental cost-effectiveness ratios (ICER) compared between BORT and DEX, and between LEN/DEX and BORT (pmcid=9746097)?","The incremental cost-effectiveness ratio (ICER) compared between BORT and DEX was R654,649, and the ICER between LEN/DEX and BORT was R1,225,542.",c07ac53c1a27aedeedae2687ed29305e
9746097,What cost-effectiveness threshold was used in the analysis (pmcid=9746097)?,R38 500 per DALY averted,c07ac53c1a27aedeedae2687ed29305e
9746097,What is the impact of both BORT and LEN/DEX on the 1 year budget-cost of RRMM treatment (pmcid=9746097)?,Both BORT and LEN/DEX significantly increase the 1 year budget-cost of RRMM treatment.,c07ac53c1a27aedeedae2687ed29305e
9746097,What is the conclusion regarding the cost-effectiveness of BORT and LEN/DEX treatments for second-line treatment of RRMM in South Africa (pmcid=9746097)?,Both BORT and LEN/DEX treatments are unlikely to be cost-effective strategies for second-line treatment of RRMM in South Africa.,c07ac53c1a27aedeedae2687ed29305e
9746097,What are the key drivers of value for money in the treatment of second line multiple myeloma from a South African public health perspective (pmcid=9746097)?,"The key drivers of value for money in the treatment of second line multiple myeloma from a South African public health perspective, as indicated in the study with pmcid=9746097, are the drug prices of lenalidomide and bortezomib.",c07ac53c1a27aedeedae2687ed29305e
9746097,What could potentially make BORT more cost-effective? (pmcid=9746097),Price reductions,c07ac53c1a27aedeedae2687ed29305e
11271297,What did the study aim to assess (pmcid=11271297)?,The study aimed to assess the cost-utility and budget impact of dual to single HER2 targeted neoadjuvant therapy for HER2-positive breast cancer in Sri Lanka.,c3a13a3243a691d6a01198bfdf5025d7
11271297,What model was used to assess the cost-utility of neoadjuvant dual HER2 targeted therapy for HER2-positive breast cancer in Sri Lanka (pmcid=11271297)?,A five-health state Markov model with a lifetime horizon was used.,c3a13a3243a691d6a01198bfdf5025d7
11271297,What were the input parameters estimated using for the analysis (pmcid=11271297)?,"Local data, network meta-analysis, published reports, and literature.",c3a13a3243a691d6a01198bfdf5025d7
11271297,What was the currency exchange rate used to adjust costs in the study (pmcid=11271297)?,1USD = LKR194.78,c3a13a3243a691d6a01198bfdf5025d7
11271297,What was assessed in terms of the five-year budget impact for the public healthcare system (pmcid=11271297)?,The five-year budget impact for the public healthcare system was assessed in terms of neoadjuvant dual HER2 targeted therapy for HER2-positive breast cancer in Sri Lanka.,c3a13a3243a691d6a01198bfdf5025d7
11271297,What were the incremental cost-effectiveness ratios for neoadjuvantLTC plus adjuvantLT (strategy 5) compared to neoadjuvantTC plus adjuvantT (strategy 1) (pmcid=11271297)?,The incremental cost-effectiveness ratio for neoadjuvantLTC plus adjuvantLT (strategy 5) compared to neoadjuvantTC plus adjuvantT (strategy 1) was USD6878 per QALY gained.,c3a13a3243a691d6a01198bfdf5025d7
11271297,What was considered as the cost-effectiveness threshold for the analysis (pmcid=11271297)?,One GDP per-capita (USD3815),c3a13a3243a691d6a01198bfdf5025d7
11271297,What was the uncertainty revealed regarding the efficacy parameter in the study (pmcid=11271297)?,"The uncertainty revealed regarding the efficacy parameter in the study (pmcid=11271297) was that even though only the ICER for strategy 3 was cost-effective, there was uncertainty about the efficacy parameter.",c3a13a3243a691d6a01198bfdf5025d7
11271297,What reduction of neoadjuvant regimen cost was required for strategy 2 to be cost effective for use in early HER2 positive breast cancer (pmcid=11271297)?,A 25% reduction of neoadjuvant regimen cost was required for strategy 2 to be cost effective for use in early HER2 positive breast cancer.,c3a13a3243a691d6a01198bfdf5025d7
11718712,What has been a challenge for health technology assessment agencies worldwide in the decision-making process for incorporating technologies for ultrarare diseases (URD) (pmcid=11718712)?,The decision-making process for incorporating technologies for ultrarare diseases (URD) has been a challenge for health technology assessment agencies worldwide.,807ff3269b2d2007bc39732c6d3d8162
11718712,What have debates focused on regarding the budget impact of incorporating technologies for ultrarare diseases (pmcid=11718712)?,Debates have focused on the challenges of incorporating technologies for ultrarare diseases in the budget impact analysis.,807ff3269b2d2007bc39732c6d3d8162
11718712,What are the other dimensions of the economic and social impact of Ultrarare Diseases that require consideration? (pmcid=11718712),The other dimensions of the economic and social impact of Ultrarare Diseases that require consideration include budget impact analysis and the challenge of incorporating medications for these diseases in the Brazilian healthcare system.,807ff3269b2d2007bc39732c6d3d8162
11718712,What reports were data extracted from for the analysis of technologies for the treatment of ultrarare diseases in Brazil (pmcid=11718712)?,Data were extracted from National Committee for Health Technology Incorporation (CONITEC) reports (2012 to 2022) for the analysis of technologies for the treatment of ultrarare diseases in Brazil.,807ff3269b2d2007bc39732c6d3d8162
11718712,What criterion was used to classify diseases in the study (pmcid=11718712)?,"The criterion used to classify diseases in the study (pmcid=11718712) was an epidemiological criterion or Orphanet consultation, with a prevalence of ≤1 per 50,000 inhabitants.",807ff3269b2d2007bc39732c6d3d8162
11718712,What variables were included in the budget impact analysis for medications for ultrarare diseases in the Brazilian healthcare system (pmcid=11718712)?,"The variables included in the budget impact analysis for medications for ultrarare diseases in the Brazilian healthcare system (pmcid=11718712) were eligible patient count, population estimation method, incremental impact values for one and five years, and diffusion rate in the first and fifth year.",807ff3269b2d2007bc39732c6d3d8162
11718712,What type of regression analysis was used to adjust the relationship between the budget impact analysis and the final recommendation in this study (pmcid=11718712)?,Univariate logistic regression,807ff3269b2d2007bc39732c6d3d8162
11718712,What percentage of reports exclusively employed the epidemiological approach for incremental impact assessment population estimation in the study conducted by Santos M (pmcid: 11718712)?,48 percent,807ff3269b2d2007bc39732c6d3d8162
11718712,What were the most cited sources for population data in the study (pmcid=11718712)?,"The most cited sources for population data in the study were the UK, the USA, and multicenter studies.",807ff3269b2d2007bc39732c6d3d8162
11718712,"What were the notable differences found between favorable and unfavorable CONITEC recommendations, and what were they associated with (pmcid=11718712)?","The notable differences found between favorable and unfavorable CONITEC recommendations were lower values, and they were associated with incorporation.",807ff3269b2d2007bc39732c6d3d8162
11718712,What did the market share diffusion rates favor in both the first year and the cumulative five years (pmcid=11718712)?,The market share diffusion rates favored the option of 100 percent diffusion in both the first year and the cumulative five years.,807ff3269b2d2007bc39732c6d3d8162
11718712,What did the analysis highlight in terms of the influence of demand characteristics and technology type on the budget impact value over one and five years (pmcid=11718712)?,The analysis highlighted that demand characteristics and technology type have an influence on the budget impact value over one and five years.,807ff3269b2d2007bc39732c6d3d8162
11718712,What significantly influenced the final recommendation for technology incorporation in the study (pmcid=11718712)?,Budget impact data,807ff3269b2d2007bc39732c6d3d8162
11718712,What factors influenced recommendations in the decision-making process (pmcid=11718712)?,Requester characteristics and technology type,807ff3269b2d2007bc39732c6d3d8162
9636776,What did the European Medicines Agency approve in 2020 for the treatment of inflammatory bowel disease (pmcid=9636776)?,The European Medicines Agency approved infliximab subcutaneous (SC) for the treatment of inflammatory bowel disease in 2020.,680dcd8f7c7cbb807bf92422aba0a155
9636776,What will the new mode of infliximab administration reduce according to the abstract sentence (pmcid=9636776)?,The new mode of infliximab administration will reduce outpatient visits and costs of intravenous (IV) administration.,680dcd8f7c7cbb807bf92422aba0a155
9636776,What perspective was considered in the budget impact analysis of introducing infliximab SC to the Big-5 European market (pmcid=9636776)?,The budget impact analysis considered the healthcare payer's perspective.,680dcd8f7c7cbb807bf92422aba0a155
9636776,What type of budget impact model was developed to examine the financial impact of infliximab SC (pmcid=9636776)?,A prevalence-based budget impact model was developed.,680dcd8f7c7cbb807bf92422aba0a155
9636776,What scenarios were compared in the budget impact analysis of subcutaneous infliximab for treating inflammatory bowel disease in the Big-5 European countries (pmcid=9636776)?,"The ""world with"" versus ""world without"" infliximab SC scenarios were compared in the budget impact analysis of subcutaneous infliximab for treating inflammatory bowel disease in the Big-5 European countries.",680dcd8f7c7cbb807bf92422aba0a155
9636776,"What were the cost savings associated with introducing infliximab SC in patients with Crohn's disease in the UK, Germany, France, and Italy (pmcid=9636776)?","Introducing infliximab SC in patients with Crohn's disease in the UK resulted in cost savings of €42.0 million, in Germany €59.4 million, in France and Italy €46.4 million each.",680dcd8f7c7cbb807bf92422aba0a155
9636776,What cost savings were observed for ulcerative colitis in the Big-5 European countries over 5 years? (pmcid=9636776),"Cost savings of €42.7 million in the UK, €44.9 million in Germany, €44.3 million in France, and €53.0 million in Italy were observed for ulcerative colitis in the Big-5 European countries over 5 years.",680dcd8f7c7cbb807bf92422aba0a155
9636776,What was calculated to determine cost-savings per patient in the study (pmcid=9636776)?,Cost-savings per patient was calculated by dividing the net budget saving by the number of treatment eligible patients.,680dcd8f7c7cbb807bf92422aba0a155
9636776,What is the range of maximum and minimum savings per patient per year in CD and UC in the Big-5 European countries (pmcid=9636776)?,"For CD, the range of maximum and minimum savings per patient per year is between €38.25 and €575.74, both from Germany. For UC, the range is between €105.06 (France) and €647.25 (Germany).",680dcd8f7c7cbb807bf92422aba0a155
9636776,"What will healthcare payers in the UK, Germany, France, and Italy, but not in Spain, make by using infliximab SC for the treatment of inflammatory bowel disease (pmcid=9636776)?","Healthcare payers in the UK, Germany, France, and Italy will make budget savings by using infliximab SC for the treatment of inflammatory bowel disease.",680dcd8f7c7cbb807bf92422aba0a155
11574529,What have numerous studies shown about the cost-effectiveness of arthroscopic partial meniscectomy in patients with symptoms attributed to a degenerative meniscus tear? (pmcid=11574529),Numerous studies have shown that arthroscopic partial meniscectomy (APM) is not cost-effective in patients with symptoms attributed to a degenerative meniscus tear.,34f264732511414656fdb2c2ebba4f8f
11574529,What was the aim of the study conducted by van Well EB (pmcid=11574529)?,The aim of the study conducted by van Well EB was to assess the budget impact of reducing arthroscopic partial meniscectomy (APM) in routine clinical practice in the population studied.,34f264732511414656fdb2c2ebba4f8f
11574529,What type of model was developed to simulate patients recently diagnosed with a degenerative meniscus tear (pmcid=11574529)?,A patient-level state transition model was developed.,34f264732511414656fdb2c2ebba4f8f
11574529,What strategies were compared in the study (pmcid=11574529)?,"Three strategies were compared: ""current guideline"" (i.e., postpone surgery to at least 3 months after diagnosis), ""APM at any time"" (i.e., APM available directly after diagnosis), and ""nonsurgical"" (i.e., APM no longer performed).",34f264732511414656fdb2c2ebba4f8f
11574529,What was calculated to determine the budget impact over 5 years (pmcid=11574529)?,Total societal costs,34f264732511414656fdb2c2ebba4f8f
11574529,What type of sensitivity analyses were conducted to address uncertainty in the study (pmcid=11574529)?,Probabilistic and deterministic sensitivity analyses were conducted.,34f264732511414656fdb2c2ebba4f8f
11574529,"What were the average costs per patient over 5 years for the ""APM at any time,"" ""current guideline,"" and ""nonsurgical"" strategies? (pmcid=11574529)","The average costs per patient over 5 years were EUR 5,077 for the ""APM at any time"" strategy, EUR 4,577 for the ""current guideline"" strategy, and EUR 4,218 for the ""nonsurgical"" strategy.",34f264732511414656fdb2c2ebba4f8f
11574529,What was the reduction in health care expenditures by removing APM from the treatment mix in the Netherlands (pmcid=11574529)?,"The reduction in health care expenditures by removing APM from the treatment mix in the Netherlands was EUR 54 million (95 percent confidence interval [CI] EUR 38 million-EUR 70 million) compared to the ""current guideline strategy"" and EUR 129 million (95 percent CI EUR 102 million-EUR 156 million) compared to the ""APM at any time"" strategy.",34f264732511414656fdb2c2ebba4f8f
11574529,What did the sensitivity analyses show in relation to the conclusions of the study (pmcid=11574529)?,The sensitivity analyses showed that uncertainty did not alter the conclusions of the study.,34f264732511414656fdb2c2ebba4f8f
11574529,What costs can be saved when APM is no longer performed to treat symptoms attributed to degenerative meniscus tears in the Netherlands (pmcid=11574529)?,Substantial costs can be saved.,34f264732511414656fdb2c2ebba4f8f
11574529,What is recommended in the treatment of degenerative meniscus tears (pmcid=11574529)?,It is recommended to further reduce the use of arthroscopic partial meniscectomy (APM) in the treatment of degenerative meniscus tears.,34f264732511414656fdb2c2ebba4f8f
9985892,What is the purpose of the study on Comprehensive Custom-Pak® in Cataract and Vitreoretinal Surgery in Canadian Hospitals (pmcid=9985892)?,"The purpose of the study is to investigate the time efficiency and economic impact of using surgical procedure packs, specifically Comprehensive Custom-Pak® in Cataract and Vitreoretinal Surgery in Canadian Hospitals.",54ebbaba0603eabb60aab79364786567
9985892,What is particularly important to evaluate when considering the time and cost of surgical pack use in Canadian hospitals (pmcid=9985892)?,Evaluating the time and cost of surgical pack use is particularly important for publicly funded healthcare systems with tight budgets and/or an emphasis on value-based care.,54ebbaba0603eabb60aab79364786567
9985892,What did the study seek to estimate in cataract and vitreoretinal surgeries in Canadian hospitals (pmcid=9985892)?,The study sought to estimate the economic impact of comprehensive surgical pack use in cataract and vitreoretinal (retina) surgeries in Canadian hospitals.,54ebbaba0603eabb60aab79364786567
9985892,What budget impact model was adapted for Canada in this study (pmcid=9985892)?,A budget impact model developed for the United States (US) was adapted for Canada in this study (pmcid=9985892).,54ebbaba0603eabb60aab79364786567
9985892,What method was used to obtain data in the US study (pmcid=9985892)?,The data in the US study (pmcid=9985892) was obtained via an online survey and timing exercises of surgical procedures.,54ebbaba0603eabb60aab79364786567
9985892,What inputs were used to adapt the model in the study (pmcid=9985892)?,Relevant Canadian-specific labor and cost inputs were used to adapt the model in the study with pmcid=9985892.,54ebbaba0603eabb60aab79364786567
9985892,What was compared in terms of pack utilization in cataract and retina surgeries at the facility and aggregate group levels (pmcid=9985892)?,The use of generic commodity packs (no proprietary equipment-specific supplies) was compared to full utilization of Custom-Pak® in cataract and retina surgeries at the facility and aggregate group levels.,54ebbaba0603eabb60aab79364786567
9985892,How many labor hours per year are saved by switching from generic to comprehensive pack use in all 2500 cataract procedures at a community hospital (pmcid=9985892)?,287 labor hours per year,54ebbaba0603eabb60aab79364786567
9985892,How many potential procedures annually can be accommodated due to the saved OR hours in the study by Punch D (pmcid=9985892)?,196 potential procedures annually,54ebbaba0603eabb60aab79364786567
9985892,What are the annual cost savings realized for the OR in Canadian hospitals (pmcid=9985892)?,"The annual cost savings realized for the OR in Canadian hospitals is CAD $39,815.",54ebbaba0603eabb60aab79364786567
9985892,"What savings were yielded across 50,000 cataract surgeries at the provincial level (pmcid=9985892)?","Savings of 5608 hours and 3916 additional procedures were yielded across 50,000 cataract surgeries at the provincial level (pmcid=9985892).",54ebbaba0603eabb60aab79364786567
9985892,What is the potential annual cost savings of implementing full Custom-Pak use at the facility level in 1000 retina cases (pmcid=9985892)?,"The potential annual cost savings of implementing full Custom-Pak use at the facility level in 1000 retina cases is $10,650 (pmcid=9985892).",54ebbaba0603eabb60aab79364786567
9985892,What impact does the use of Comprehensive Custom-Pak have on efficiency in cataract and retina surgeries in Canadian hospitals (pmcid=9985892)?,"The use of Comprehensive Custom-Pak improves efficiency in cataract and retina surgeries in Canadian hospitals, saving substantial time and cost, potentially allowing more patients to have these procedures, and reducing wait times.",54ebbaba0603eabb60aab79364786567
10534563,What was the aim of the study conducted on abobotulinumtoxinA in Greece (pmcid=10534563)?,"The aim of the study was to assess the cost-effectiveness of abobotulinumtoxinA (aboBoNT-A) plus Best Supportive Care (BSC) compared with BSC alone for managing limb spasticity in adult patients in Greece, as well as to conduct a budget impact analysis of the introduction of aboBoNT-A in the Greek healthcare system compared to onabotulinumtoxinA (onaBoNT-A).",4dee18c7300461276d9f45fae3484b71
10534563,What type of data were collected from Greek sources for this analysis (pmcid=10534563)?,Cost data were collected from Greek sources.,4dee18c7300461276d9f45fae3484b71
10534563,What did the results of the study show regarding the cost-effectiveness of aboBoNT-A plus BSC for upper and lower limb spasticity in adult patients compared to BSC (pmcid=10534563)?,The results of the study showed that aboBoNT-A plus BSC was a cost-effective treatment option for both upper and lower limb spasticity in adult patients compared to BSC.,4dee18c7300461276d9f45fae3484b71
10534563,What were the cost savings in pharmaceutical spending over a 5-year period after introducing aboBoNT-A into the Greek healthcare system (pmcid=10534563)?,The cost savings in pharmaceutical spending over a 5-year period after introducing aboBoNT-A into the Greek healthcare system were observed.,4dee18c7300461276d9f45fae3484b71
10534563,"What could incorporating aboBoNT-A into the Greek healthcare system improve, according to the findings (pmcid=10534563)?",Patient access to treatment and healthcare resource efficiency,4dee18c7300461276d9f45fae3484b71
10351593,What is the purpose of the study (pmcid=10351593)?,The purpose of the study is to analyze the budget impact of single-inhaler fluticasone furoate/umeclidinium/vilanterol in patients with asthma in the Dubai Academic Healthcare Corporation.,011f9ef4eca910fd6f1a36704bd68862
10351593,What is the composition of the once-daily single-inhaler triple therapy developed by GSK for patients with uncontrolled asthma (pmcid=10351593)?,"The once-daily single-inhaler triple therapy developed by GSK for patients with uncontrolled asthma is comprised of fluticasone furoate/umeclidinium/vilanterol (FF/UMEC/VI), which is a combination of inhaled corticosteroid, long-acting muscarinic antagonist, and long-acting β(2)-agonist.",011f9ef4eca910fd6f1a36704bd68862
10351593,What perspective was used to determine the financial impact of introducing FF/UMEC/VI SITT in patients with asthma at the Dubai Academic Healthcare Corporation (pmcid=10351593)?,The perspective used to determine the financial impact of introducing FF/UMEC/VI SITT in patients with asthma at the Dubai Academic Healthcare Corporation (pmcid=10351593) was from the perspective of the Dubai Academic Healthcare Corporation (DAHC).,011f9ef4eca910fd6f1a36704bd68862
10351593,What approach was used to construct the budget impact model in this study (pmcid=10351593)?,An epidemiology-based approach was used to construct the budget impact model in this study (pmcid=10351593).,011f9ef4eca910fd6f1a36704bd68862
10351593,What costs were included in the model for the budget impact analysis of single-inhaler fluticasone furoate/umeclidinium/vilanterol in patients with asthma in the Dubai Academic Healthcare Corporation (pmcid=10351593)?,The costs included in the model for the budget impact analysis of single-inhaler fluticasone furoate/umeclidinium/vilanterol in patients with asthma in the Dubai Academic Healthcare Corporation were both pharmacy and efficacy-related costs.,011f9ef4eca910fd6f1a36704bd68862
10351593,What perspective was adopted for the budget impact analysis in the study conducted by Hamouda M in the Dubai Academic Healthcare Corporation (pmcid=10351593)?,"The perspective adopted for the budget impact analysis in the study conducted by Hamouda M in the Dubai Academic Healthcare Corporation (pmcid=10351593) was the perspective of the DAHC healthcare payer, including only direct payer costs in the analysis.",011f9ef4eca910fd6f1a36704bd68862
10351593,"What type of analysis was conducted to test the model structure, assumptions, and input parameters (pmcid=10351593)?",A one-way sensitivity analysis was conducted.,011f9ef4eca910fd6f1a36704bd68862
10351593,What was the total budget impact estimated for the single-inhaler fluticasone furoate/umeclidinium/vilanterol in patients with asthma over 5 years (pmcid=10351593)?,The total budget impact was estimated to save 1 million United States Dollars (USD) over 5 years for the single-inhaler fluticasone furoate/umeclidinium/vilanterol in patients with asthma.,011f9ef4eca910fd6f1a36704bd68862
10351593,What was the estimated overall budget impact per patient over 5 years in the study conducted by Hamouda M in the Dubai Academic Healthcare Corporation (pmcid=10351593)?,The estimated overall budget impact per patient over 5 years in the study conducted by Hamouda M in the Dubai Academic Healthcare Corporation was 12.2 USD.,011f9ef4eca910fd6f1a36704bd68862
10351593,What was the sensitivity analysis focused on in the budget impact analysis of Single-Inhaler Fluticasone Furoate/Umeclidinium/Vilanterol in patients with asthma in the Dubai Academic Healthcare Corporation (pmcid=10351593)?,The sensitivity analysis in the budget impact analysis of Single-Inhaler Fluticasone Furoate/Umeclidinium/Vilanterol in patients with asthma in the Dubai Academic Healthcare Corporation focused on changes in the market uptake of FF/UMEC/VI.,011f9ef4eca910fd6f1a36704bd68862
10351593,What should healthcare payers consider in the management of uncontrolled asthma in the UAE (pmcid=10351593)?,"Healthcare payers should consider using FF/UMEC/VI in the management of uncontrolled asthma in the UAE, as it can save costs and reduce healthcare resource use.",011f9ef4eca910fd6f1a36704bd68862
9771058,What is the impact of non-pharmacologic dementia care interventions on the risk of nursing home admission for people living with dementia (pmcid=9771058)?,Non-pharmacologic dementia care interventions significantly reduce the risk of a nursing home admission for people living with dementia.,74dcc19042bf1c4762ab54ed346f9971
9771058,What mathematical model was used to evaluate the budget impact of non-pharmacologic interventions for community-dwelling people living with dementia (pmcid=9771058)?,An evidence-based mathematical model was used to evaluate the budget impact of non-pharmacologic interventions for community-dwelling people living with dementia (pmcid=9771058).,74dcc19042bf1c4762ab54ed346f9971
9771058,What healthcare payer costs were included in the analysis (pmcid=9771058)?,Medicare and Medicaid expenditures were included in the analysis.,74dcc19042bf1c4762ab54ed346f9971
9771058,How many community-dwelling people with dementia were simulated in the cohort (pmcid=9771058)?,"302,630",74dcc19042bf1c4762ab54ed346f9971
9771058,What criteria were applied to determine the proportion of the cohort that would receive the interventions (pmcid=9771058)?,The inclusion criteria of each intervention were applied to determine the proportion of the cohort that would receive the interventions.,74dcc19042bf1c4762ab54ed346f9971
