SLR_pmcid_tbl,single_studies,question,answer
11332733_Table_3,Morawski J.H.: 2012,What time horizons are considered in these studies?,"Morawski J.H. 2012: 20 years, 10 years (sensitivity analysis), 5 years (sensitivity analysis)"
11332733_Table_3,Morawski J.H.: 2012,What are the total costs reported in these studies?,"Morawski J.H. 2012: 8223 for 20 years, 5816 for 10 years (sensitivity analysis), 3473 for 5 years (sensitivity analysis)"
11332733_Table_3,Morawski J.H.: 2012,What are the QALYs (Quality-Adjusted Life Years) calculated in these studies?,"Morawski J.H. 2012: 9.45 for 20 years, 6.36 for 10 years (sensitivity analysis), 3.64 for 5 years (sensitivity analysis)"
11332733_Table_3,Morawski J.H.: 2012,What are the ICERs (Incremental Cost-Effectiveness Ratios) per QALY in these studies?,"Morawski J.H.: 20 years: 6312, 10 years (sensitivity analysis): 6666, 5 years (sensitivity analysis): 7036"
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What are the titles or identifiers of these studies?,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38]
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],Where are these studies conducted?,Van Loon (2010)a [37]: NL; Rabalais (2012) [32]: US; Auguste & Meads (2014)b [34]: UK; Greuter (2017) [35]: NL; Smith & Mehanna (2017) [39]: UK; Fu (2021) [36]: CAN; Greuter (2022) [33]: NL; Rosen (2022) [38]: GER
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What objectives do these studies aim to achieve?,"Van Loon (2010)a [37]: To evaluate the cost effectiveness of a PET/CT-based follow-up as opposed to a conventional follow-up in patients with NSCLC treated with CRT; Rabalais (2012) [32]: To study the cost effectiveness of PET/CT for the management of the neck in patients with N2 neck cancer treated with CRT; Auguste & Meads (2014)b [34]: To undertake a cost-effectiveness analysis that compares PET/CT plus standard practice with standard practice alone in the diagnosis of recurrent or persistent cervical cancer during routine surveillance and a follow-up in women treated with CRT; Greuter (2017) [35]: To assess the effects and costs of four response evaluation strategies including PET/CT to detect local residual disease in patients with advanced squamous cell OPC treated with CRT; Smith & Mehanna (2017) [39]: To provide vital evidence for the cost effectiveness of a PET/CT guided management strategy for patients with N2 or N3 head and neck cancers treated with CRT; Fu (2021) [36]: To compare the long-term cost utility of CT surveillance, PET/CT–guided surveillance and PRND for the management of patients with advanced nodal HPV+ OPC treated with CRT; Greuter (2022) [33]: To assess the cost effectiveness of shortening therapy duration based on interim PET/CT scans in patients with DLBCL treated with R-CHOP; Rosen (2022) [38]: To determine the cost effectiveness of FET PET compared with conventional MRI for early identification of responders to adjuvant CHEMO in patients with glioma"
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What patient populations are included in these studies?,Van Loon (2010)a [37]: Patients with advanced staged NSCLC; Rabalais (2012) [32]: Patients with advanced nodal neck cancer; Auguste & Meads (2014)b [34]: Patients with persistent and late-stage cervical cancer; Greuter (2017) [35]: Patients with advanced staged squamous cell OPC; Smith & Mehanna (2017) [39]: Patients with advanced nodal head and neck cancers; Fu (2021) [36]: Patients with HPV+ advanced nodal OPC; Greuter (2022) [33]: Patients with DLBCL; Rosen (2022) [38]: Patients with glioblastoma
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What therapy strategies are evaluated in these studies?,Van Loon (2010)a [37]: CRT; Rabalais (2012) [32]: CRT; Auguste & Meads (2014)b [34]: CRT; Greuter (2017) [35]: CRT; Smith & Mehanna (2017) [39]: CRT; Fu (2021) [36]: CRT; Greuter (2022) [33]: CHEMO; Rosen (2022) [38]: CRT
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],Which lines of therapy are considered in these studies?,"Van Loon (2010)a [37]: First-line, Second-line; Rabalais (2012) [32]: First-line; Auguste & Meads (2014)b [34]: First-line; Greuter (2017) [35]: First-line; Smith & Mehanna (2017) [39]: First-line; Fu (2021) [36]: First-line; Greuter (2022) [33]: First-line; Rosen (2022) [38]: Adjuvant"
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What medications are prescribed in these studies?,"Van Loon (2010)a [37]: [1] Docetaxel, [2] erlotinib; Rabalais (2012) [32]: Not reported; Auguste & Meads (2014)b [34]: Carboplatin/5-fluorouracil; Greuter (2017) [35]: Not reported; Smith & Mehanna (2017) [39]: TPF; Fu (2021) [36]: Not reported; Greuter (2022) [33]: R-CHOP; Rosen (2022) [38]: Temozolomide"
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What imaging methods are used as comparators in these studies?,"Van Loon (2010)a [37]: [1] X-ray, [2] CT, [3] PET/CT; Rabalais (2012) [32]: [1] None, [2] CT, [3] PET/CT; Auguste & Meads (2014)b [34]: [1] MRI and/or CT, [2] MRI and/or CT plus PET/CT; Greuter (2017) [35]: [1] None, [2] MRI, [3] PET/CT; Smith & Mehanna (2017) [39]: [1] None, [2] PET/CT; Fu (2021) [36]: [1] None, [2] CT, [3] PET/CT; Greuter (2022) [33]: [1] PET/CT, [2] PET/CT plus interim PET/CT; Rosen (2022) [38]: [1] Interim MRI, [2] interim PET"
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],Which PET radiopharmaceuticals are used in these studies?,Van Loon (2010)a [37]: [18F]FDG; Rabalais (2012) [32]: Not reported; Auguste & Meads (2014)b [34]: [18F]FDG; Greuter (2017) [35]: [18F]FDG; Smith & Mehanna (2017) [39]: [18F]FDG; Fu (2021) [36]: [18F]FDG; Greuter (2022) [33]: [18F]FDG; Rosen (2022) [38]: [18F]FET
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],Do these studies involve patients with histologically proven cancer?,Van Loon (2010)a [37]: Not reported; Rabalais (2012) [32]: Not reported; Auguste & Meads (2014)b [34]: Yes; Greuter (2017) [35]: Yes; Smith & Mehanna (2017) [39]: Yes; Fu (2021) [36]: Not reported; Greuter (2022) [33]: Not reported; Rosen (2022) [38]: Yes
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What are the times to imaging reported in these studies?,Van Loon (2010)a [37]: End-of-therapy imagingd; Rabalais (2012) [32]: End-of-therapy imagingd; Auguste & Meads (2014)b [34]: End-of-therapy imagingd; Greuter (2017) [35]: End-of-therapy imagingd; Smith & Mehanna (2017) [39]: End-of-therapy imagingd; Fu (2021) [36]: End-of-therapy imagingd; Greuter (2022) [33]: Early imaging after two cycles of therapy; Rosen (2022) [38]: Early imaging after two cycles of therapy
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What time horizons are considered in these studies?,Van Loon (2010)a [37]: 5 years; Rabalais (2012) [32]: 1 year; Auguste & Meads (2014)b [34]: Lifetime; Greuter (2017) [35]: Therapy duration; Smith & Mehanna (2017) [39]: Lifetime; Fu (2021) [36]: Lifetime; Greuter (2022) [33]: 5 years; Rosen (2022) [38]: Therapy duration
11782410_Table_1,Van Loon: Van Loon (2010)a [37]; Rabalais: Rabalais (2012) [32]; Auguste & Meads: Auguste & Meads (2014)b [34]; Greuter (2017): Greuter (2017) [35]; Smith & Mehanna: Smith & Mehanna (2017) [39]; Fu: Fu (2021) [36]; Greuter (2022): Greuter (2022) [33]; Rosen: Rosen (2022) [38],What sources of funding are reported for these studies?,Van Loon (2010)a [37]: Not reported; Rabalais (2012) [32]: Non-industry; Auguste & Meads (2014)b [34]: Non-industry; Greuter (2017) [35]: Non-industry; Smith & Mehanna (2017) [39]: Non-industry; Fu (2021) [36]: Non-industry; Greuter (2022) [33]: Non-industry; Rosen (2022) [38]: Not reported
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What references are cited in these studies?,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38]
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What are the ICER values reported in these studies?,"Hiligsmann et al. [27]: All ages: €38,526 (women), €106,113 (men); 60–69 years: €155,006 (women), €218,176 (men); 70–79 years: €24,997 (women), €92,676 (men); 80+ years: €1907 (women), €27,683 (men); Ethgen et al. [21]: Osteoporosis: 50 years: €300,277 (women), €203,563 (men); 60 years: €174,359 (women), €121,582 (men); 70 years: €74,707 (women), €61,349 (men); 80 years: €19,910 (women), €24,231 (men); Prevalent fracture: 50 years: €168,701 (women), €118,823 (men); 60 years: €96,744 (women), €70,057 (men); 70 years: €35,687 (women), €31,423 (men); 80 years: €3369 (women), €8916 (men); Hiligsmann et al. [28]: 60 years: €40,578 (women), €23,477 (men); 70 years: €7912 (women), €10,250 (men); 80 years: −€12,815 (cost saving, women), −€6723 (cost saving, men); Kreck et al. [18]: BMD T-score −3.0: 65 years: €407,375 (women), €1,042,295 (men); Van Staa et al. [20]: GC 5 mg: <60 years: £41,000 (women), £40,000 (men); 60–79 years: £17,000 (women), £43,000 (men); 80+ years: £5000 (women), £35,000 (men); GC 15 mg: <60 years: £17,000 (women), £22,000 (men); 60–79 years: £13,000 (women), £34,000 (men); 80+ years: £15,000 (women), £33,000 (men); Fleurence et al. [39]: General population: Hip pad: $11,722 (women), $47,426 (men); Hip pad + VitD/CA: $25,123 (women), $80,998 (men); High-risk population: Hip pad: −$450 (cost saving, women), $17,017 (men); Hip pad + VitD/CA: $6572 (women), $33,565 (men); Pisu et al. [16]: Vs no screening: −$49,261 (cost saving, women), −$4487 (cost saving, men); Vs usual care: −$38,305 (cost saving, women), −$4729 (cost saving, men); Schwenkglenks et al. [36]: 65 years: CHF70,995 (women), CHF197,460 (men); 75 years: CHF35,412 (women), CHF123,094 (men); 85 years: CHF28,170 (women), CHF118,945 (men)"
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],Are these studies considered cost-effective?,Hiligsmann et al. [27]: No; Ethgen et al. [21]: No; Hiligsmann et al. [28]: Yes; Kreck et al. [18]: No; Van Staa et al. [20]: No; Fleurence et al. [39]: No; Pisu et al. [16]: Yes; Schwenkglenks et al. [36]: No; DPhil et al. [38]: Yes
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What scenarios are analyzed in these studies?,"Hiligsmann et al. [27]: All ages, 60–69 years, 70–79 years, 80+ years; Ethgen et al. [21]: Osteoporosis (50 years, 60 years, 70 years, 80 years), Prevalent fracture (50 years, 60 years, 70 years, 80 years); Hiligsmann et al. [28]: 60 years, 70 years, 80 years; Kreck et al. [18]: BMD T-score − 3.0 (65 years); Van Staa et al. [20]: GC 5 mg (< 60 years, 60–79 years, 80+ years), GC 15 mg (< 60 years, 60–79 years, 80+ years); Fleurence et al. [39]: General population (Hip pad, Hip pad + VitD/CA), High-risk population (Hip pad, Hip pad + VitD/CA); Pisu et al. [16]: Vs no screening, Vs usual care; Schwenkglenks et al. [36]: 65 years, 75 years, 85 years; DPhil et al. [38]: FLS vs usual care, OG vs FLS"
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What outcomes are reported for women in these studies?,"Hiligsmann et al. [27]: ICERs for different age groups, cost-effectiveness varies by age, generally more cost-effective for older women.; Ethgen et al. [21]: ICERs for osteoporosis and prevalent fracture scenarios, cost-effectiveness varies by age, generally more cost-effective for older women.; Hiligsmann et al. [28]: ICERs for different ages, cost-effective for women at all ages studied.; Kreck et al. [18]: ICER for BMD T-score −3.0 at 65 years, not cost-effective for women.; Van Staa et al. [20]: ICERs for different GC dosages and age groups, cost-effectiveness varies, generally more cost-effective for women at higher GC dosages.; Fleurence et al. [39]: ICERs for general and high-risk populations with hip pad and VitD/CA interventions, cost-effectiveness varies, generally more cost-effective for women in high-risk populations.; Pisu et al. [16]: Cost savings reported for women compared to no screening and usual care, cost-effective for women.; Schwenkglenks et al. [36]: ICERs for different ages, not cost-effective for women at 65 years, cost-effective for older women.; DPhil et al. [38]: ICERs for FLS vs usual care and OG vs FLS, cost-effective for women in both comparisons."
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What outcomes are reported for men in these studies?,"Hiligsmann et al. [27]: ICERs for men across different age groups, with cost-effectiveness not achieved in any scenario.; Ethgen et al. [21]: ICERs for men with osteoporosis and prevalent fracture across different ages, with cost-effectiveness achieved in some scenarios.; Hiligsmann et al. [28]: ICERs for men at ages 60, 70, and 80, with cost-effectiveness achieved in all scenarios.; Kreck et al. [18]: ICER for men with BMD T-score −3.0 at age 65, not cost-effective.; Van Staa et al. [20]: ICERs for men on GC 5 mg and GC 15 mg across different age groups, with cost-effectiveness achieved in some scenarios.; Fleurence et al. [39]: ICERs for men in general and high-risk populations using hip pad and hip pad + VitD/CA, with cost-effectiveness achieved in some scenarios.; Pisu et al. [16]: Cost savings for men vs no screening and vs usual care, with cost-effectiveness achieved in both scenarios.; Schwenkglenks et al. [36]: ICERs for men at ages 65, 75, and 85, with cost-effectiveness not achieved in any scenario.; DPhil et al. [38]: ICERs for men in FLS vs usual care and OG vs FLS, with cost-effectiveness achieved in both scenarios."
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],"What differences are noted between women and men in these studies, using women as the reference?","Hiligsmann et al. [27]: Men have higher ICERs than women across all age groups, and the cost-effectiveness is generally worse for men.; Ethgen et al. [21]: For osteoporosis, men have lower ICERs than women, except at 80 years where men have a higher ICER. For prevalent fracture, men have lower ICERs than women, except at 80 years where men have a higher ICER.; Hiligsmann et al. [28]: Men have lower ICERs than women across all age groups, and both genders are cost-effective.; Kreck et al. [18]: Men have a much higher ICER than women at 65 years, and neither is cost-effective.; Van Staa et al. [20]: For GC 5 mg, men have similar or higher ICERs than women, with cost-effectiveness only for women in older age groups. For GC 15 mg, men have higher ICERs than women, with cost-effectiveness only for women in older age groups.; Fleurence et al. [39]: In the general population, men have higher ICERs than women, with cost-effectiveness only for women. In the high-risk population, men have higher ICERs than women, with cost-effectiveness for both genders in some scenarios.; Pisu et al. [16]: Both men and women are cost-saving compared to no screening and usual care, with men having slightly less cost-saving than women.; Schwenkglenks et al. [36]: Men have higher ICERs than women across all age groups, with cost-effectiveness only for women in older age groups.; DPhil et al. [38]: Men have slightly lower ICERs than women for FLS vs usual care, but higher ICERs for OG vs FLS, with both genders being cost-effective."
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What specific data is provided for women in these studies?,Hiligsmann et al. [27]: ICER values for different age groups and cost-effectiveness for women.; Ethgen et al. [21]: ICER values for osteoporosis and prevalent fracture scenarios for women.; Hiligsmann et al. [28]: ICER values for different ages and cost-effectiveness for women.; Kreck et al. [18]: ICER value for BMD T-score −3.0 at 65 years for women.; Van Staa et al. [20]: ICER values for different GC dosages and age groups for women.; Fleurence et al. [39]: ICER values for hip pad and hip pad + VitD/CA in general and high-risk populations for women.; Pisu et al. [16]: Cost-saving ICER values vs no screening and vs usual care for women.; Schwenkglenks et al. [36]: ICER values for different ages for women.; DPhil et al. [38]: ICER values for FLS vs usual care and OG vs FLS for women.
10020287_Table_3,Hiligsmann et al. [27]: Hiligsmann et al. [27]; Ethgen et al. [21]: Ethgen et al. [21]; Hiligsmann et al. [28]: Hiligsmann et al. [28]; Kreck et al. [18]: Kreck et al. [18]; Van Staa et al. [20]: Van Staa et al. [20]; Fleurence et al. [39]: Fleurence et al. [39]; Pisu et al. [16]: Pisu et al. [16]; Schwenkglenks et al. [36]: Schwenkglenks et al. [36]; DPhil et al. [38]: DPhil et al. [38],What specific data is provided for men in these studies?,"Hiligsmann et al. [27]: ICER values for different age groups and cost-effectiveness status for men.; Ethgen et al. [21]: ICER values for osteoporosis and prevalent fracture scenarios across different ages and cost-effectiveness status for men.; Hiligsmann et al. [28]: ICER values for different ages and cost-effectiveness status for men.; Kreck et al. [18]: ICER value for BMD T-score −3.0 at 65 years and cost-effectiveness status for men.; Van Staa et al. [20]: ICER values for GC 5 mg and GC 15 mg across different age groups and cost-effectiveness status for men.; Fleurence et al. [39]: ICER values for general and high-risk populations with different interventions and cost-effectiveness status for men.; Pisu et al. [16]: ICER values for screening vs no screening and vs usual care, both cost-saving, and cost-effectiveness status for men.; Schwenkglenks et al. [36]: ICER values for different ages and cost-effectiveness status for men.; DPhil et al. [38]: ICER values for FLS vs usual care and OG vs FLS, and cost-effectiveness status for men."
10060315_Table_2,"Grant et al. 2020 [55]; Wu et al. 2020 [49]; Earla and Sansgiry 2019 [30] Perera et al. 2019 [56]; Park et al. 2019 [42]: KR; Zueger et al. 2018 [52]: US; Zaca 2018 [50]: IT; Liang et al. 2018 [19]: SG; D’Angiolella et al. 2017 [29]: IT; Ademi et al. 2017 [25]: CH; Ramos et al. 2017 [43]: NL; CADTH (HTA), 2016 [58]: CA; NICE (HTA), 2016 [17]: UK; SMC (HTA), 2016 [59]: SC",Which countries are covered in these studies?,"Grant et al. 2020 [55]: CA; Wu et al. 2020 [49]: CN; Earla and Sansgiry 2019 [30]: US; Perera et al. 2019 [56]: AU; Park et al. 2019 [42]: KR; Zueger et al. 2018 [52]: US; Zaca 2018 [50]: IT; Liang et al. 2018 [19]: SG; D’Angiolella et al. 2017 [29]: IT; Ademi et al. 2017 [25]: CH; Ramos et al. 2017 [43]: NL; CADTH (HTA), 2016 [58]: CA; NICE (HTA), 2016 [17]: UK; SMC (HTA), 2016 [59]: SC"
10060315_Table_2,"Grant et al. 2020 [55]; Wu et al. 2020 [49]; Earla and Sansgiry 2019 [30] Perera et al. 2019 [56]; Park et al. 2019 [42]: KR; Zueger et al. 2018 [52]: US; Zaca 2018 [50]: IT; Liang et al. 2018 [19]: SG; D’Angiolella et al. 2017 [29]: IT; Ademi et al. 2017 [25]: CH; Ramos et al. 2017 [43]: NL; CADTH (HTA), 2016 [58]: CA; NICE (HTA), 2016 [17]: UK; SMC (HTA), 2016 [59]: SC",What base-case scenarios are considered in these studies?,"Grant et al. 2020 [55] (CA): 5 years; Wu et al. 2020 [49] (CN): 10 years; Earla and Sansgiry 2019 [30] (US): 15 years; Perera et al. 2019 [56] (AU): Lifetime; Park et al. 2019 [42] (KR): Lifetime; Zueger et al. 2018 [52] (US): 5 years; Zaca 2018 [50] (IT): 10 years; Liang et al. 2018 [19] (SG): 10 years; D’Angiolella et al. 2017 [29] (IT): Lifetime; Ademi et al. 2017 [25] (CH): Lifetime; Ramos et al. 2017 [43] (NL): Lifetime; CADTH (HTA), 2016 [58] (CA): 20 years; NICE (HTA), 2016 [17] (UK): Lifetime; SMC (HTA), 2016 [59] (SC): Lifetime"
10060315_Table_2,"Grant et al. 2020 [55]; Wu et al. 2020 [49]; Earla and Sansgiry 2019 [30] Perera et al. 2019 [56]; Park et al. 2019 [42]: KR; Zueger et al. 2018 [52]: US; Zaca 2018 [50]: IT; Liang et al. 2018 [19]: SG; D’Angiolella et al. 2017 [29]: IT; Ademi et al. 2017 [25]: CH; Ramos et al. 2017 [43]: NL; CADTH (HTA), 2016 [58]: CA; NICE (HTA), 2016 [17]: UK; SMC (HTA), 2016 [59]: SC",What are the ICER/QALY values at different time horizons used in sensitivity and scenario analyses in these studies?,"Grant et al. 2020: {'2 years': 'CA$50,766', '5 years': 'CA$24,426'}; Wu et al. 2020: {'5 years': '$3,685', '10 years': '$2,033', '20 years': '$1,874'}; Zueger et al. 2018: {'2 years': '$223,344', '10 years': '$89,824', '30 years': '$67,997'}; Liang et al. 2018: {'2 years': 'SG$271,291', '20 years': 'SG$54,777'}; Ramos et al. 2017: {'1 year': '€88,710', '3 years': '€55,555', '5 years': '€41,576', '10 years': '€27,350'}; Ademi et al. 2017: {'2 years': 'CHF58,679'}"
10060315_Table_2,"Grant et al. 2020 [55]; Wu et al. 2020 [49]; Earla and Sansgiry 2019 [30] Perera et al. 2019 [56]; Park et al. 2019 [42]: KR; Zueger et al. 2018 [52]: US; Zaca 2018 [50]: IT; Liang et al. 2018 [19]: SG; D’Angiolella et al. 2017 [29]: IT; Ademi et al. 2017 [25]: CH; Ramos et al. 2017 [43]: NL; CADTH (HTA), 2016 [58]: CA; NICE (HTA), 2016 [17]: UK; SMC (HTA), 2016 [59]: SC",What time horizons are considered in these studies?,"Grant et al. 2020 [55] (CA): 5 years; Wu et al. 2020 [49] (CN): 10 years; Earla and Sansgiry 2019 [30] (US): 15 years; Perera et al. 2019 [56] (AU): Lifetime; Park et al. 2019 [42] (KR): Lifetime; Zueger et al. 2018 [52] (US): 5 years; Zaca 2018 [50] (IT): 10 years; Liang et al. 2018 [19] (SG): 10 years; D’Angiolella et al. 2017 [29] (IT): Lifetime; Ademi et al. 2017 [25] (CH): Lifetime; Ramos et al. 2017 [43] (NL): Lifetime; CADTH (HTA), 2016 [58] (CA): 20 years; NICE (HTA), 2016 [17] (UK): Lifetime; SMC (HTA), 2016 [59] (SC): Lifetime"
